Location,X,Y
data_location_1,298,625
data_location_2,404,626
data_location_3,509,626
data_location_4,615,626
data_location_5,721,626
data_location_6,827,625
data_location_7,933,625
data_location_8,1040,626
data_location_9,1040,581
data_location_10,934,581
data_location_11,827,582
data_location_12,720,581
data_location_13,615,581
data_location_14,510,582
data_location_15,404,582
data_location_16,298,583
data_location_17,298,537
data_location_18,404,537
data_location_19,509,536
data_location_20,615,537
data_location_21,720,537
data_location_22,828,538
data_location_23,933,537
data_location_24,1040,537
data_location_25,1040,491
data_location_26,934,493
data_location_27,827,492
data_location_28,721,491
data_location_29,613,493
data_location_30,509,491
data_location_31,404,491
data_location_32,298,491
data_location_33,297,446
data_location_34,404,448
data_location_35,510,448
data_location_36,616,447
data_location_37,721,448
data_location_38,828,447
data_location_39,934,448
data_location_40,1040,447
data_location_41,1038,402
data_location_42,934,404
data_location_43,827,401
data_location_44,720,403
data_location_45,614,403
data_location_46,509,401
data_location_47,405,401
data_location_48,298,401
data_location_49,296,358
data_location_50,404,359
data_location_51,508,359
data_location_52,614,359
data_location_53,720,358
data_location_54,825,359
data_location_55,933,359
data_location_56,1040,359
data_location_57,1040,315
data_location_58,933,314
data_location_59,826,314
data_location_60,722,314
data_location_61,615,315
data_location_62,508,314
data_location_63,404,314
data_location_64,299,314
data_location_65,297,271
data_location_66,404,269
data_location_67,508,270
data_location_68,615,269
data_location_69,722,269
data_location_70,827,271
data_location_71,933,269
data_location_72,1038,270
data_location_73,1039,225
data_location_74,934,224
data_location_75,829,226
data_location_76,721,225
data_location_77,615,225
data_location_78,509,226
data_location_79,404,223
data_location_80,297,223
data_location_81,297,179
data_location_82,404,178
data_location_83,509,178
data_location_84,617,178
data_location_85,722,179
data_location_86,827,180
data_location_87,933,179
data_location_88,1039,178
data_location_89,1040,135
data_location_90,932,134
data_location_91,827,132
data_location_92,723,135
data_location_93,616,134
data_location_94,509,135
data_location_95,404,133
data_location_96,299,135
